РУС	Unnamed: 1
ест	чиир
есть	бар
ешь	чемненип ал
жалобы	хомудалдар
жарко	изиг
желтое	сарыг
желтый	сарыг
женщина	херээжен
женщины	херээженнер
живете	чурттап турар силер
животное	мал
животные	дириг амытаннар
животными	дириг амытаннар
животных	дириг амытаннар
живу	чурттап чор мен
зависимости	хамаарылгалар
зависят	хамаарылгалыг
завтра	даарта
завтрак	эртенги чем
завтракаю	эртенги чемни чип тур мен
заднего	артыкы
заимствованы	үлегерлеп алган
закрепление	быжыглаашкын
занимался	өөренип турган
заниматься	кылыр
занимаюсь	кылып турар мен
занятия	кичээлдер
занятиях	кичээлдерге
заплатил	төлээн
заплатим	төлээр бис
заплачу	төлеп бээр мен
зачем	чүге
звонких	өткүт
звучит	дыңналыр
здоровье	кадыкшыл
здоровья	кадыкшыл
здравствуй	экии
здравствуйте	экии
зеленая	ногаан
зеленый	ногаан
зима	кыш
зимой	кыжын
знакомого	таныыр кижизин
зовут	дээр
зрение	көөрү
играем	ойнап тур бис
играли	ойнап турганнар
играть	ойнаар
играю	ойнап тур мен
игры	оюннар
идет	кел чор
идешь	бар чыдыр сен
идти	баар
иду	бар чыдыр мен
извинение	буруузун миннири
извини	буруулуг болдум
извините	буруулуг болдум
имени	аттыг
имя	ат
интеллектуальные	интеллектуалдыг
использование	ажыглаары
используется	ажыглап турар
используют	ажыглап турар
используются	ажыглап турар
ищу	дилеп тур мен
какая	кандыг
какое	кандыг
книгу	ном
коза	өшкү
количестве	санныг
комбинации	каттыжыышкыннар
кому	кымга
конец	төнчү
конце	ужу-кыдыы
корова	инек
коровы	инектер
которые	олар
кош	кош
кошка	диис
кошки	диистер
красивая	чараш
красивый	чараш
красная	кызыл
красное	кызыл
красный	кызыл
крупный	улуг
кулак	чудурук
купил	садып алдым
купили	садып алганнар
купим	садып алыр бис
купите	садып алыңар
купить	садып алыр
купишь	садып алыр сен
купли	садып алыышкыннар
куплю	садып алыр мен
купят	садып алыр
кушать	чиир
лекарств	эмнер
лекарство	эм
лексика	лексика
лет	чылдар
летел	ужуп чораан
летели	ужуп турган
лететь	ужар
летим	ужар бис
летите	ужуңар
летишь	ужар сен
лето	чай
летом	чайын
лечу	ужуп чор мен
лиса	дилги
лица	арыннар
лицо	арын
личное	хууда
личные	хууда
личных	хууда
лор	лор
лошади	аъттар
лошадь	аът
любим	ынак бис
любить	ынак болур
любишь	ынак сен
люблю	ынак мен
людей	кижилерни
люди	кижилер
людьми	кижилер
людях	кижилерниң
магазин	садыг
магазине	садыг
магазины	садыглар
мал	бичии
маленькая	бичии
маленькие	бичии
маленький	бичии
мало	эвээш
мальчик	оол
мальчики	оолдар
мама	авай
маркером	маркер-биле
материала	материал
машина	машина
мебели	эт-сеп
медведь	адыг
медицинские	эмчи
мелкий	бичии
меня	мени
меняю	солуп тур мен
места	олуттар
местоимение	ат орну
местоимения	ат оруннары
младший	хеймери
мне	меңээ
многим	хөй улуска
множ	хөй
множественного	хөйнүң
множественное	хөй
мое	мээңии
можно	болур
мои	мээңии
молодая	аныяк
молодой	аныяк
молоко	сүт
москваже	москваже
москву	москва
моя	мээңии
мужчина	эр кижи
мужчины	эр улус
музыка	аялга
музыку	аялга
мынаа	мынаа
мягкими	чымчак
мяса	эът
мясо	эът
названий	аттар
названия	аттар
напитки	суксуннар
например	чижээ
настоящего	амгы
настоящее	амгы
находится	турар
нахожу	тып аар мен
начало	эгези
него	ону
недели	неделялар
некрасивый	чараш эвес
неодушевленными	амы чок
неодушевленных	амы чок
нет	чок
низ	адаа
низкая	чавыс
низкий	чавыс
никогда	кажан-даа
новая	чаа
новый	чаа
ноги	буттар
ночи	дүннер
ночь	дүн
ночью	дүне
нравиться	чарашсынар
обед	дүштеки чем
обедаю	дүштеки чем чип тур мен
обозначения	демдеглелдер
образование	эртем-билиг
образования	эртем-билиг
образованы	тургустунган
образует	тургузар
образуется	тыптыр
обратите	эргилдириңер
обращаются	дилег киирер
обсуждение	сайгарылга
обычно	анаада
обязательно	албан
овца	хой
овцы	хойлар
одежды	хеп
один	чаңгыс
одним	чаңгыс
одному	чааскаан
означает	дээн уткалыг
окончание	төнчү
окончанием	төндүр
окончаний	төнчү
окончания	төнчү
олень	иви
описание	тайылбыр
описания	тайылбырлар
оплата	төлевир
осадки	чаашкын
осень	күс
осенью	күзүн
осмотр	хыналда
основе	үндезинге
основные	кол
основы	үндезиннер
ответ	харыы
ответить	харыылаар
ответу	харыызынга
ответы	харыылар
ответь	харыыла
отдых	дыштанылга
отдыхал	дыштанып турган
отдыхать	дыштаныр
отдыхаю	дыштанып тур мен
отель	отель
отправления	аъттаныышкыннар
отрицание	хүлээвези
отрицания	ойталаашкыннар
отрицательные	багай
очень	аажок
падать	дүжер
падежа	падеж
папа	ачай
первый	бир дугаар
перевести	очулдурар
перевод	очулга
перед	мурнунда
переднего	мурнуку
пил	хирээ
пили	ижип турган
питания	чемненилге
пить	ижер
пищи	чем
планов	планнар
планы	планнар
платить	төлээр
плачу	ыглап тур мен
плохая	багай
плохо	багай
повседневные	хүн бүрүнүң
повторение	катаптаашкын
погода	агаар-бойдус
погоде	агаар-бойдуска
погодные	агаар-бойдустуң
погоды	агаар
поедем	чоруур бис
поеду	чоруур мен
поезд	поезд
поезде	поездиге
поездке	аян-чорукка
поездки	аян-чоруктар
поездом	поезд-биле
пожалуйста	дилеп тур мен
поздороваться	мендилежир
пойдем	чоруулу
пойдет	баар
пойдете	баар силер
пойдешь	баар сен
пойду	баар мен
пойдут	баар
поколение	салгал
покупаем	садып ап турар бис
покупаешь	садып ап тур сен
покупаю	садып ап тур мен
покупка	садып алыры
покупки	садып алыышкыннар
покупок	садыглаашкын
полезные	ажыктыг
полетишь	ужа бээр сен
полечу	ужа бээр мен
получаю	ап тур мен
помощью	дуза-биле
понедельник	понедельник
понятие	билиишкин
понятия	билиишкиннер
после	соонда
построение	тургузары
построения	тудуглар
поход	поход
почему	чүге
пошедший	барган
правильное	шын
правильный	шын
практика	практика
предложений	домактар
предложения	домактар
предложениях	домактар
предметами	эдилелдер-биле
предметов	эдилелдер
предпочтений	эки талалар
при	үезинде
привет	экии
приветствие	чолукшулга
приветствия	байыр чедириишкиннери
прием	хүлээп алыышкын
приемы	аргалар
прилагательные	демдек аттары
прилагательными	демдек аттары-биле
прилагательных	демдек аттарының
пример	чижек
природы	бойдустуң
притяжательность	сорунзалыы
притяжательные	сорунзалыг
притяжательный	сорунзалыг
прогноз	баш бурунгаар медээ
прогулка	селгүүстээшкин
прогулки	селгүүстээшкин
продажи	садыглаашкын
продайте	садыңар
продать	садар
продаю	садып тур мен
продуктов	аъш-чем
продукты	аъш-чем
простейших	эң бөдүүн
прости	өршээ
простите	өршээп көрүңер
просьбы	дилеглер
процедуры	процедуралар
прошедшего	эрткен
прошедшее	эрткен
прошедшем	эрткен
прошлом	эрткен үе
прощай	байырлыг
прощайте	байырлыг
прощание	байырлажыышкын
путешествий	аян-чорук
путешествия	аян-чорук
пьем	ижип тур бис
пьет	ижер
пьете	ижер силер
пьешь	ижер сен
пью	ижер мен
пьют	ижер
работа	ажыл
работал	ажылдап турган
работать	ажылдаар
работаю	ажылдап тур мен
разговор	чугаа
разговорной	чугаа
размер	хемчээл
размеры	хемчээлдер
размещение	тургузары
разные	аңгы-аңгы
разных	аңгы-аңгы
распорядка	чурум
распорядке	чурумга
распорядок	чурум
рассказы	чечен чугаалар
ребенку	уругга
ребенок	чаш уруг
речи	чугаалар
рогатый	мыйыстыг
рост	өзүлде
росте	өзүлде
рука	хол
руки	холдар
русские	орустар
русского	орус
рынок	рынок
ряда	одуруг
самолет	самолёт
самолете	самолетка
самолёт	самолёт
самочувствие	кадыкшыл
светит	чырып тур
светить	чырыыр
свидания	болчаглар
свободного	хостуг
свободное	хостуг
свойств	шынарларының
связка	шарыг
сегодня	бөгүн
сезонах	сезоннарга
сезоны	сезоннар
семье	өг-бүлеге
семьей	өг-бүлези-биле
семьи	өг-бүлелер
семья	өг-бүле
сен	сен
сестра	угба
сестры	угбашкылар
сил	күш
силер	силер
сингармонизма	сингармонизмниң
синий	көк
синяя	көк
сказать	чугаалаар
скидка	чиигелде
скидках	чиигелделер
скидки	чиигелделер
скот	мал
слов	сөстер
слова	сөстер
слове	сөс
слово	сөс
слух	сураг
слушал	дыңнадым
слушать	дыңнаар
слушаю	дыңнап тур мен
смотрели	көрүп турганнар
смотреть	көөр
смотрим	көрүп тур бис
смотрю	көрүп тур мен
смягчения	чымчадыры
снег	хар
собака	ыт
собаки	ыттар
собери	чыып ал
собеседника	чугаакыр кижи
собеседников	чугаалашкан кижилер
согласных	ажык эвес үннерни
согласование	чөпшээрежилге
солнце	хүн
сон	дүш
сонустаар	сонустаар
сонустадым	сонустадым
соок	чулук
сопоставь	деңнештирер
сопровождаются	үдээр
составь	тургузувут
сочетание	каттыжыышкын
спасибо	четтирдим
спать	удуур
специальные	тускай
сплю	удуп чыдыр мен
спокойной	оожум
спорт	спорт
спортом	спорт-биле
спорту	спортка
спросить	айтырар
спряжение	кожары
сравнение	деңнээри
сравнения	деңнелгелер
среда	среда
ставим	салып тур бис
ставится	салып турар
ставятся	салыр
старая	эрги
старшая	улуг
старшее	улуг
старший	улуг
старый	кырган
степени	чадалар
стоит	турар
стол	стол
столы	столдар
суток	хонук
суффикс	суффикс
суффикса	суффикстиң
суффиксами	суффикстер-биле
суффиксов	суффикстер
суффиксом	суффикс-биле
суффиксы	суффикстер
существительное	чүве ады
существительном	чүве адының
существительным	чүве ады-биле
существительными	чүве аттары-биле
существительных	чүве аттарының
также	база
такое	ындыг
тар	тар
творительного	чаяалгалыг
твоя	сээңии
тебе	сеңээ
тебя	сени
тела	мага-бот
тело	мага-бот
теме	темага
температура	температура
теплые	чылыг
тер	тер
термины	терминнер
течение	агым
тир	тир
того	оозун
том	том
трава	сиген
травоядные	оът-сиген чиир амытаннар
транспорт	транспорт
транспорта	транспорт
тренировка	белеткел
тувинским	тыва
тувинском	тыва
увлечений	хандыкшылдар
увлечения	хандыкшылдар
увлечениях	хандыкшылдарга
ужин	кежээки чем
ужинаю	кежээки чемни чип тур мен
умываться	чунар
умываюсь	чунуп тур мен
урок	кичээл
утвердительная	бадыткалдыг
утвердительные	бадыткалдыг
утвердительных	бадыткалдыг
уточнения	ылавылаашкыннар
утренние	эртенги
утренний	эртенги
утро	эртен
утром	эртен
ухо	кулак
уходишь	чоруй баар сен
ухожу	чоруптар мен
учеба	өөредилге
учиться	өөренир
учреждения	албан черлери
учусь	өөренип тур мен
ушел	чоруй барган
уши	кулактар
ушли	чоруй барганнар
финансовые	саң-хөө
форма	хевир
формы	хевирлер
фраз	домактар
фразу	домак
фразы	домактар
хищники	араатаннар
хлеб	хлеб
хлеба	хлеб
хобби	хобби
ходил	кылаштап чораан
холодно	соок
холодные	соок
холодный	соок
хорошая	эки
хорошо	эки-дир
цвет	өң
цвета	өңнер
цветов	чечектер
цветок	чечек
цена	өртек
цене	өртек
цены	өртектер
чаи	шайлар
чай	шай
час	шак
часта	удаа-дараа
части	кезектер
частица	кезекчигеш
частицей	кезекчигеш-биле
частицы	кезекчигештер
часто	бо-ла
чашка	аяк
чашки	аяктар
чаще	удаа-дараа
чек	чек
человек	кижи
человеком	кижи
человеку	кижиге
чем	чүнүң-биле
черная	кара
черный	кара
числа	саннар
числе	сан
числительных	сан аттарының
число	сан
читаем	номчуп тур бис
читал	номчаан
читать	номчуур
читаю	номчуп тур мен
членах	кежигүннеринге
членов	кежигүннер
члены	кежигүннери
чтение	номчулга
чтобы	дээш
чуур	чуур
шел	чоруп орган
шкаф	шкаф
шкафы	шкафтар
шли	чоруп органнар
это	бо
юнита	эге хемчег
явления	болуушкуннар
является	болур
языке	дыл
я	мен
ты	сен
он	ол
она	ол
и	база
в	впутин
не	эвес
на	ма
я	мен
что	чүү
быть	болур
с	
он	ол
а	а
это	бо
как	канчап
то	ынчаарга
этот	бо
по	по
к	к
но	ынчалза-даа
они	олар
мы	бис
она	ол
который	ол
из	иштинден
у	у
свой	бодунуң
вы	силер
весь	шупту
за	дээш
для	дээш
от	от
о	о
так	ындыг
мочь	шыдаар
все	шупту
ты	сен
же	а
год	чыл
человек	кижи
один	чаңгыс
такой	ындыг
тот	ол
или	азы
если	бир эвес
только	чүгле
его	ооң
бы	ийик
себя	бодун
время	үе
когда	кажан
еще	ам-даа
уже	ам
другой	өске
сказать	чугаалаар
до	чедир
мой	мээңии
наш	бистии
чтобы	дээш
говорить	чугаалаар
самый	эң
знать	билир
вот	бо-дур
очень	аажок
нет	чок
кто	кым
при	үезинде
да	ийе
стать	апаар
день	хүн
первый	бир дугаар
даже	харын-даа
можно	болур
жизнь	амыдырал
во	впутин
ни	
сам	боду
дело	херек
два	ийи
новый	чаа
раз	бир катап
хотеть	күзээр
должен	ужурлуг
ли	бе
какой	кандыг
со	биле
там	ында
их	оларның
много	хөй
работа	ажыл
иметь	бар болур
после	соонда
где	кайда
вопрос	айтырыг
рука	хол
город	хоорай
ее	ооң
под	адаанга
каждый	кижи бүрүзү
слово	сөс
место	чер
без	чок
ну	че
ребенок	чаш уруг
просто	анаа
более	ажыг
друг	өңнүк
большой	улуг
надо	херек
чем	чүнүң-биле
ваш	силернии
сделать	кылыр
идти	баар
здесь	мында
делать	кылыр
сейчас	ам
россия	россия
видеть	көөр
потом	оон
ничто	чүү-даа эвес
через	дамчыштыр
мир	тайбың
теперь	ам
несколько	каш
думать	боданыр
потому	ынчангаш
случай	таварылга
сторона	тала
хороший	эки
тоже	база
глаз	карак
тогда	ынчан
тут	мында
дом	бажың
страна	чурт
об	дугайында
сила	күш
последний	сөөлгү
работать	ажылдаар
также	база
лицо	арын
жить	чурттаар
часть	кезек
хотя	ынчалза-даа
женщина	херээжен
система	система
всегда	кезээде
являться	келир
вид	хевир
голова	баш
проблема	чидиг айтырыг
конец	төнчү
ведь	чүге дээрге
между	аразында
конечно	ынчанмайн канчаар
смотреть	көөр
пока	байырлыг
отношение	хамаарылга
получить	алыр
дать	бээр
русский	орус
три	үш
второй	ийи дугаары
именно	ылап-ла
перед	мурнунда
лишь	чүгле
образ	овур-хевир
понять	билип алыр
деньги	акша
поэтому	ынчангаш
почему	чүге
понимать	билип алыр
москва	москва
любой	кандыг-даа
однако	ынчалза-даа
хорошо	эки-дир
никто	кым-даа
час	шак
начать	эгелээр
найти	тывар
считать	санаар
взять	алыр
над	кырында
земля	чер
сегодня	бөгүн
вообще	черле
книга	ном
пойти	баар
возможность	арга
некоторый	чамдык
оказаться	таваржыр
прийти	келир
компания	компания
история	төөгү
любить	ынак болур
высокий	бедик
нужно	херек
почти	барык
остаться	артар
твой	сээңии
результат	түңнел
больше	хөй
например	чижээ
право	эрге
группа	бөлүк
писать	бижиир
сидеть	олурар
путь	орук
машина	машина
находиться	турар
увидеть	көөр
война	дайын
казаться	көстүр
стоять	турар
имя	ат
решить	шиитпирлээр
никогда	кажан-даа
стоить	өртектиг болур
маленький	бичии
ответ	харыы
вода	суг
решение	шиитпир
бог	бурган
совсем	шуут
язык	дыл
далеко	ырак
нужный	херектиг
давать	бээр
ответить	харыылаар
полный	долу
российский	российжи
народ	чон
власть	эрге-чагырга
сразу	дораан
уровень	деңнел
выйти	үнер
ночь	дүн
пора	үе келген
часто	бо-ла
спросить	айтырар
развитие	сайзырал
программа	программа
начало	эгези
никакой	кандыг-даа
оно	ол
главный	кол
дверь	эжик
вместе	кады
момент	үе
закон	хоойлу
число	сан
цель	сорулга
принять	хүлээп алыр
следующий	дараазында
написать	бижиир
отец	ада
правда	шын
нога	бут
старый	кырган
помощь	дуза
информация	медээ
уж	ам
тысяча	муң
про	дугайында
подобный	дөмей
разный	аңгы-аңгы
общий	ниити
месяц	ай
пройти	эртер
кроме	оон аңгыда
минута	минута
мало	эвээш
всё	шупту
процесс	чорудулга
ситуация	байдал
смочь	шыдаар
автор	автор
начинать	эгелээр
форма	хевир
голос	үн
многий	хөй
собственный	бодунуң
мысль	бодал
свет	чырык
качество	шынар
школа	школа
всякий	кандыг-даа
действие	кылдыныг
мужчина	эр кижи
область	область
внимание	кичээнгей
следовать	эдерер
использовать	ажыглаар
дорога	орук
связь	харылзаа
марк	марк
взгляд	көрүш
условие	негелде
молодой	аныяк
скоро	удавас
снова	база катап
любовь	ынакшыл
основной	кол
становиться	апаар
важный	чугула
ждать	манаар
вдруг	хенертен
игра	оюн
читать	номчуур
статья	чүүл
организация	организация
средство	эм
существовать	бар болур
душа	сагыш
пытаться	шенээр
тело	мага-бот
посмотреть	көөр
общество	ниитилел
жена	кадай
государство	күрүне
оставаться	артар
совершенно	шуут
письмо	чагаа
состояние	байдал
вечер	кежээ
настоящий	ёзулуг
назад	дедир
смысл	утка
мера	хемчег
семья	өг-бүле
простой	бөдүүн
вещь	чүве
вернуться	дедир чанар
затем	оон
причина	чылдагаан
утро	эртен
мать	ие
рынок	рынок
действительно	шынап-ла
происходить	болур
данный	ук
девушка	кыс
вести	медээлээр
сколько	каш
тема	тема
стол	стол
проект	төлевилел
улица	кудумчу
государственный	күрүне
помнить	сактып алыр
называть	адаар
точка	точка
появиться	көстүп келир
хотеться	күзээр
нельзя	хоржок
д	д
белый	ак
центр	төп
опять	база катап
равный	дең
против	удур
куда	кайнаар
неделя	неделя
идея	бодал
особенно	ылаңгыя
прийтись	чедип келир
комната	өрээл
иной	өске
цена	өртек
наконец	ам-на
известный	билдингир
среди	аразында
сын	оглу
деятельность	ажыл-чорудулга
узнать	билип алыр
играть	ойнаар
правило	дүрүм
советский	совет
лучший	эң эки
движение	шимчээшкин
заниматься	кылыр
точно	ылап
огромный	аажок улуг
мама	авай
задача	сорулга
великий	улуг
количество	саны
чувство	минниишкин
иногда	чамдыкта
слишком	эмин эрттир
смерть	өлүм
достаточно	четчир
лежать	чыдар
помочь	дузалажыр
мнение	бодал
труд	күш-ажыл
пять	беш
третий	үшкүзү
бывать	баар
заметить	эскерер
готовый	белен
быстро	дүрген
черный	кара
сильный	күштүг
н	н
порядок	чурум
чувствовать	миннир
создать	тургузар
пример	чижек
положение	байдал
век	век
продолжать	уламчылаар
подумать	боданыр
муж	ашаа
поскольку	чүге дээрге
уйти	чоруур
хоть	
военный	шериг
речь	чугаа
план	план
совет	сүме
политический	политиктиг
стена	хана
представлять	төлээлээр
слышать	дыңнаар
ходить	кылаштаар
окно	соңга
рядом	чанында
прежде	мурнунда
показать	көргүзер
опыт	дуржулга
тип	хевир
оба	кайызы-даа
около	хире
отвечать	харыылаар
интерес	сонуургал
современный	амгы
плохой	багай
сердце	чүрек
управление	удуртулга
данные	медээлер
наука	эртем
сообщение	дыңнадыг
значит	ындыг болганда
просить	дилээр
немного	бичии
газета	солун
интересный	солун
живой	дириг
поставить	салыр
необходимый	эргежок чугула
материал	материал
роль	роль
открыть	ажыдар
ко	ко
представить	таныштырар
вполне	шуут
будто	ышкаш
рассказать	чугаалаар
выходить	үнер
рано	эрте
оставить	каар
получать	алыр
давно	шагда-ла
армия	шериг
рабочий	ажылчын
четыре	дөрт
бояться	коргар
различный	янзы-бүрү
долго	үр
привести	эккээр
президент	президент
либо	чок болза
событие	болуушкун
менее	эвээш
красный	кызыл
социальный	социал
искать	дилээр
большинство	хөй кезии
бизнес	бизнес
пусть	болзун
легко	белен
правительство	чазак
прямо	дорт
глава	эге
член	кежигүн
суд	суд
возможно	чадавас
принимать	хүлээп алыр
рубль	рубль
б	б
миллион	млн
целый	бүдүн
приходить	келир
фильм	фильм
обычно	анаада
счет	сан
спать	удуур
небольшой	улуг эвес
культура	культура
текст	сөзүглел
брать	алыр
документ	документ
принцип	принцип
разговор	чугаа
телефон	телефон
произойти	болур
правый	оң
способ	арга
течение	агым
провести	эрттирер
пол	шала
вокруг	долгандыр
проходить	эртер
купить	садып алыр
родитель	ада-ие
сей	бо
ряд	одуруг
ещё	ам-даа
единственный	кара чаңгыс
метр	метр
сайт	сайт
партия	нам
позволять	чөпшээрээр
образование	эртем-билиг
зачем	чүге
наверное	ыйнаан
период	үе
кстати	шынап
пара	эжеш
квартира	квартира
забыть	уттур
е	е
значение	ужур-утка
внутренний	иштики
связать	шарыыр
требовать	негээр
далее	дараазында
основа	үндезин
александр	александр
возможный	болгу дег
желание	күзел
слушать	дыңнаар
чуть	бичии
номер	дугаар
изменение	өскерилге
очередь	оочур
политика	политика
класс	класс
относиться	хамаарылгалыг болур
факт	барымдаа
брат	акы
собираться	чыглыр
определенный	тодаргай
довольно	элээн
производство	бүдүрүлге
создание	тургузары
район	кожуун
особый	тускай
верить	бүзүрээр
спасибо	четтирдим
предприятие	бүдүрүлге
близкий	чоок
ход	көш
экономический	экономиктиг
знакомый	таныырым
человеческий	кижи
местный	тус черниң
назвать	адаар
небо	дээр
направление	угланыышкын
туда	ынаар
удаться	бүде бээр
встреча	ужуражылга
шаг	базым
остальной	артканы
попасть	кирер
команда	команда
добрый	биче сеткилдиг
поле	шөл
г	г
сша	акш
исследование	шинчилел
общественный	хөй-ниити
её	ооң
мальчик	оол
метод	арга
повод	чылдагаан
рост	өзүлде
сначала	баштай
рассказывать	чугаалаар
сон	дүш
уходить	чоруур
служба	албан
ж	ч
население	чурттакчы чон
воздух	агаар
словно	ышкаш
кровь	хан
спрашивать	айтырар
зрение	көөрү
врач	эмчи
ехать	чоруур
нравиться	чарашсынар
приходиться	таваржыр
знание	билиг
войти	кирер
предложить	саналдаар
использование	ажыглаары
начаться	эгелээр
десять	он
палец	салаа
обычный	анаа
необходимо	херек
орган	орган
доллар	доллар
держать	тудар
т	т
название	ат
похожий	дөмей
дорогой	эргим
реальный	боттуг
участие	киржилге
род	аймак
приехать	келир
наиболее	эң
девочка	уруг
крупный	улуг
море	далай
природа	бойдус
магазин	садыг
вроде	ышкаш
память	сактыышкын
весьма	аажок
больший	улуг
домой	чанар
объект	объект
свобода	хосталга
продукт	продукт
борьба	демисел
личный	хууда
касаться	дээр
причем	ооң кадында
проводить	эрттирер
отдельный	аңгы
успеть	четтигер
предмет	эртем
представитель	төлээ
плечо	эгин
национальный	национал
музыка	аялга
самолет	самолёт
позиция	туруш
вспомнить	сактып кээр
американский	американ
стараться	кызар
герой	маадыр
характер	аажы-чаң
размер	хемчээл
пить	ижер
средний	ортумак
срок	хуусаа
институт	институт
сеть	четки
солнце	хүн
серьезный	шыңгыы
подойти	чоокшулаар
иначе	оон башка
сергей	сергей
показывать	көргүзер
союз	эвилел
дух	сүлде
позволить	чөпшээрээр
интернет	интернет
лес	арыг
журнал	сеткүүл
степень	чадазы
предлагать	саналдаар
территория	девискээр
март	март
успех	чедиишкин
искусство	уран чүүл
участник	киржикчи
парень	оол
свободный	хостуг
гость	аалчы
впрочем	чогум
вариант	арга
предложение	домак
судьба	салым-чол
составлять	тургузар
товар	бараан
надеяться	идегээр
действовать	хөделир
международный	делегей
способный	салым-чаяанныг
практически	барык
директор	директор
европа	европа
полностью	бүрүнү-биле
поздний	орай
песня	ыры
лучше	эки
п	п
случиться	болур
ум	угаан
выбор	шилилге
модель	модель
река	хем
фирма	фирма
гражданин	хамааты
товарищ	эш
московский	москваның
нормальный	анаа
сознание	медерел
картина	чурук
сильно	күштүг
умереть	өлүр
апрель	апрель
источник	үндезин
вместо	орнунга
граница	кызыгаар
состоять	турар
всего	ниитизи-биле
половина	чартыы
операция	кезиишкин
оценка	үнелел
огонь	от
постоянно	үргүлчү
специалист	специалист
главное	кол-ла чүве
собака	ыт
компьютер	компьютер
красивый	чараш
технология	технология
дерево	ыяш
выход	үнер чер
гора	даг
входить	кирер
мировой	делегей
научный	эртем
уметь	билир
детский	бичии уруглар
корабль	корабль
желать	күзээр
берег	эрик
широкий	делгем
низкий	чавыс
убить	өлүрер
прекрасный	магалыг
ибо	чүге дээрге
будущее	келир үе
внешний	даштыкы
литература	чогаал
тяжелый	аар
сотрудник	ажылдакчы
среда	среда
помогать	дузалажыр
бой	тулчуушкун
сложный	нарын
зал	зал
услышать	дыңнаар
войско	шериг
структура	тургузуу
несмотря	
пользоваться	ажыглаар
защита	камгалал
короткий	кыска
начальник	дарга
бумага	саазын
странный	чиктиг
